title,year,authors,journal,doi,wos_accession,abstract,source
"Utilizing a crowdsourced phrasal lexicon to identify cultural ecosystem services in El Cajas National Park, Ecuador",2022,"Kong, IHY; Sarmiento, FO",ECOSYSTEM SERVICES,10.1016/j.ecoser.2022.101441,WOS:000808386700005,"In recent years, social media has been widely utilized to identify cultural ecosystem services (CES) that encapsulate place-dependent non-material values, yet related studies remained in expert-based and single-word lexicons to retrieve such values. Taking online tourism reviews from TripAdvisor and Google Maps for El Cajas National Park in Ecuador as a case study, we propose a novel approach to develop a crowdsourced phrasal lexicon for eight CES. After applying the lexicon to the texts, we filtered CES-positive reviews to find that TripAdvisor showed higher CES frequencies based on greater v",random_sample_395
"Associations between landscape values, self-reported knowledge, and land-use: a public participation GIS assessment",2022,"Zaman, S; Korpilo, S; Horcea-Milcu, AI; Raymond, C",ECOSYSTEMS AND PEOPLE,10.1080/26395916.2022.2052749,WOS:000777835100001,"While previous socio-ecological systems research has shown relationships between local knowledge and the assignment of landscape values, the relationships between value assignment and more nuanced forms of local knowledge remain less understood. This study makes use of public participation geographic information systems (PPGIS), a method for identifying and mapping landscape attributes important to local communities. We use this method to assess the spatial associations between three landscape attributes often overlooked in the PPGIS literature: landscape values, self-reported knowledge about ",random_sample_395
Impact of prenatal exposure to mercury and selenium on neurodevelopmental delay in children in the Japan environment and Children's study using the ASQ-3 questionnaire: A prospective birth cohort,2022,"Kobayashi, S; Itoh, S; Miyashita, C; Bamai, YA; Yamaguchi, T; Masuda, H; Itoh, M; Yamazaki, K; Tamura, N; Hanley, SJB; Ikeda-Araki, A; Saijo, Y; Ito, Y; Iwai-Shimada, M; Yamazaki, S; Kamijima, M; Kishi, R; Japan Environm Childrens Study JEC",ENVIRONMENT INTERNATIONAL,10.1016/j.envint.2022.107448,WOS:000855694700002,"Neurodevelopmental delay is associated with neurodevelopmental disorders. Prenatal metal exposure can potentially cause neurodevelopmental delays in children. This study examines whether prenatal exposure to mercury (Hg) and selenium (Se) is associated with the risk of neurodevelopmental delays in children up to 4 years of age. Children enrolled in a prospective birth cohort of the Japan Environment and Children's Study were examined. Hg and Se levels in maternal (n(child )= 48,731) and cord (n(child )= 3,083) blood were analyzed by inductively coupled plasma-mass spectrometry. Neurodevelopmen",random_sample_395
Altruist Talk May (also) Be Cheap: Revealed Versus Stated Altruism as a Predictor in Stated Preference Studies,2022,"Iversen, EK; Grimsrud, K; Mitani, Y; Lindhjem, H",ENVIRONMENTAL & RESOURCE ECONOMICS,10.1007/s10640-022-00704-y,WOS:000840072200001,"Altruistic preferences have been found to be important for explaining the substantial non-use values identified in numerous stated preference surveys. However, studies analysing the effect of altruism on willingness to pay (WTP) have underestimated the challenges of measuring altruism by stated measures. We exploit a naturally occurring decision domain to investigate the role of altruism in stated preference studies. We employ a novel dataset, collected from an Internet survey panel, that contains respondents' past donations of earned survey coins to charities and use these data to analyse the",random_sample_395
"Psychology, ethics, and research ethics boards",2022,"Sharpe, D; Ziemer, J",ETHICS & BEHAVIOR,10.1080/10508422.2021.2023019,WOS:000738513900001,"Research Ethics Boards (REBs) at universities are chaired and staffed by researchers who serve to enforce codes of ethics by scrutinizing research proposals. Yet there is widespread dissatisfaction with the REB approval process. This article examines the sources of that dissatisfaction, the place for codes of ethics in the conducting of research, the evidence for risk to research participants as the basis for those codes, and the effectiveness of REBs in protecting research participants. We offer suggestions for how REB chairs, members, and researchers can improve the REB approval process so t",random_sample_395
Measurement Invariance of the SOC-13 Sense of Coherence Scale Across Gender and Age Groups,2022,"Grevenstein, D; Bluemke, M",EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,10.1027/1015-5759/a000641,WOS:000747988300008,"Sense of coherence (SOC) describes an individual's ability to deal with life challenges (manageability), comprehend the environment (comprehensibility), and perceive life and its challenges as meaningful (meaningfulness). We examine measurement invariance (MI) of the SOC-13 scale across gender and age groups in a matched sample of N = 1,816 (50% females; age range 16-83 years). A two-factor model, with a common factor for manageability/comprehensibility items and a second factor for meaningfulness items, best represented the SOC-13 in all groups. Full metric, partial scalar, and full strict in",random_sample_395
A questionnaire-based investigation to explore the social and legal implications derived from the use of camera traps for wildlife monitoring and conservation,2022,"Franchini, M; Rullman, S; Claramunt-López, B",EUROPEAN JOURNAL OF WILDLIFE RESEARCH,10.1007/s10344-022-01593-8,WOS:000805926700001,"Camera traps are non-invasive monitoring tools largely used to detect species presence or population dynamics. The use of camera traps for wildlife conservation purposes raises questions about privacy invasion when images of people are taken. Throughout the use of an online questionnaire survey, we assessed the degree of knowledge about social and legal implications derived from the deployment of camera traps. Our results revealed a consistent gap in term of knowledge about legal implications derived by the use of camera traps among respondents. Most of those who were aware of such legislation",random_sample_395
Setting expectations during volunteer recruitment and the first day experience: a preregistered experimental test of the met expectations hypothesis,2022,"Dunlop, PD; Holtrop, D; Kragt, D; Gagné, M; Farid, HM; Luksyte, A",EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY,10.1080/1359432X.2022.2070478,WOS:000788995200001,"In a preregistered experimental study that draws from the met expectations hypothesis, we examined how volunteer recruitment messaging can shape expectations of new volunteers prior to their first day, and whether meeting or failing to meet expectations on the first day would affect satisfaction. By experimentally manipulating a recruitment poster, we set either a transactional (i.e., by volunteering, one can learn new skills) or a relational expectation (i.e., one can work in a team). Participants then viewed an experimentally determined vignette that depicted their first day as a volunteer a",random_sample_395
"Factors contributing to anglers' satisfaction and their requests concerning recreational salmonid fisheries management: Insights from a questionnaire survey in strictly regulated, catch-and-release stream fishing areas",2022,"Yamashita, Y; Takagi, Y; Suzuki, K; Struessmann, CA",FISHERIES RESEARCH,10.1016/j.fishres.2022.106464,WOS:000863251100006,"Regional fisheries managers need to consider anglers' satisfaction and requests and balance them with resource conservation when making decisions to promote the sustainability of recreational fisheries. However, there is a marked paucity of information on inland recreational fisheries, particularly in non-Western countries. This study was designed to gain insight on the factors contributing to the anglers' satisfaction and their requests concerning salmonid recreational fisheries management. The approach used was a questionnaire survey of salmonid anglers in two strictly regulated, reservation",random_sample_395
Mapping cultural ecosystem services in the hyper arid environment of south of Jordan,2022,"Albalawneh, A; Al-Assaf, A; Sweity, A; Abu Hammour, W; Kloub, K; Hjazin, A; Kabariti, R; Abu Nowar, L; Tadros, MJ; Aljaafreh, S; Diab, M; Alwidyan, J; Albashbsheh, G; Haddad, N",FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2022.866309,WOS:000861870400001,"Cultural ecosystem services (CESs) refer to the non-monetary benefits that nature provides humans. This study aimed to allocate and map the CESs in the hyper arid region at the southern part of Wadi Araba as a unique ecosystem in Jordan. 296 residents were participated in a structured questionnaire. The respondents were prompted to indicate CES by drawing dots on a geo-referenced landscape map corresponding to any areas they considered as CES. The results showed that (81.1%) of the locals practice hiking (71.3%) of locals practice walking, and (66.2%) of the locals visit sand dunes which are a",random_sample_395
A Structural Equation Modeling Approach to Disentangling Regional-Scale Landscape Dynamics in Ghana,2022,"Peeling, JA; Singh, A; Judge, J",FRONTIERS IN ENVIRONMENTAL SCIENCE,10.3389/fenvs.2021.729266,WOS:000747931200001,"Land cover (LC) change is an integrative indicator of changes in ecosystems due to anthropogenic or natural forcings. There is a significant interest in the investigation of spatio-temporal patterns of LC transitions, and the causes and consequences thereof. While the advent of satellite remote sensing techniques have enhanced our ability to track and measure LC changes across the globe, significant gaps remain in disentangling specific factors that influence, or in certain cases, are influenced by, LC change. This study aims to investigate the relative influence of regional-scale bioclimatolo",random_sample_395
Hikers' pro-environmental behavior in national park: Integrating theory of planned behavior and norm activation theory,2022,"Sun, HZ; Zhang, Q; Guo, WF; Lin, KM",FRONTIERS IN FORESTS AND GLOBAL CHANGE,10.3389/ffgc.2022.1068960,WOS:000904798000001,"Hikers' intention for pro-environmental behavior (PEB) directly affects the sustainable development of protected areas, but few studies have been conducted from the perspective of theoretical integration. This study explores the intention of hikers' PEB from the perspective of individual hikers, based on the theory of planned behavior and norm activation theory. Researchers surveyed 456 hikers in Wuyishan National Park, and the data analysis method employed was structural equation modeling. The results demonstrate that the model integrating TPB and NAM was accepted of hikers' PEB in national p",random_sample_395
Integrating teacher data literacy with TPACK: A self-report study based on a novel framework for teachers' professional development,2022,"Cui, YL; Zhang, H",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.966575,WOS:000868569000001,"While teachers' knowledge is widely viewed as a key aspect of professional development in the new era, little research attention has been paid to one of its key components: teacher data literacy. Accordingly, this study aimed to combine teacher data literacy with TPACK (technological pedagogical content knowledge), a widely-used framework for understanding and assessing teachers' knowledge. We first used qualitative methods to develop this integrated framework, then distributed a quantitative self-report survey based on the framework to teachers, and analyzed the resulting data. The qualitativ",random_sample_395
Climate Change Anxiety Assessment: The Psychometric Properties of the Polish Version of the Climate Anxiety Scale,2022,"Larionow, P; Soltys, M; Izdebski, P; Mudlo-Glagolska, K; Golonka, J; Demski, M; Rosinska, M",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.870392,WOS:000802283800001,"The Climate Anxiety Scale (CAS) is a 13-item questionnaire for assessing climate anxiety (CA) as a psychological response to climate change. The CAS consists of two subscales, namely, cognitive impairment and functional impairment. This study aimed to validate the Polish version of the CAS. The sample included 603 respondents (344 females, 247 males, and 12 non-binary), aged 18-70 years (M = 25.32, SD = 9.59). Based on the exploratory factor analysis results, we proposed a 3-factor solution (i.e., intrusive symptoms, reflections on CA, and functional impairment), which seems to be theoreticall",random_sample_395
Employees buying organic food intention: An extension of the theory of planned behavior,2022,"Jiang, MM; Wu, Q",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.1054166,WOS:000880627800001,"A gradual increase in population and urbanization has increased the demand for global resources, which ultimately burdens the depletion of resources and challenges environmental sustainability worldwide. In recent decades, nature sustainability has been the biggest challenge encountered by humankind. In addition, the changing lifestyle and consumption patterns have enormously played a key role. However, the consumption pattern from the employee's perspective suffers from the lack of research. Therefore, grounded on the theory of planned behavior (TPB), this research explores the antecedents an",random_sample_395
Climate change opportunities reduce farmers' risk perception: Extension of the value-belief-norm theory in the context of Finnish agriculture,2022,"Sorvali, J; Liu, X; Kaseva, J",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.939201,WOS:000872592300001,"Global agriculture faces severe challenges due to climate change. For boreal agriculture, climate change might also bring opportunities as the growing season lengthens, if the risks of climate change are managed properly. Agricultural production is a source of greenhouse gases, while agricultural land has also a great possibility to mitigate climate change as a carbon sink. Farmers are the central group for implementing these actions. Their views and beliefs contribute to their corresponding pro-environmental agricultural behavior. This research is based on the theory of value-belief-norm (VBN",random_sample_395
Explaining Pre-service Teachers' Intentions to Use Technology-Enabled Learning: An Extended Model of the Theory of Planned Behavior,2022,"Hou, MD; Lin, YG; Shen, YF; Zhou, H",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.900806,WOS:000837238300001,"This study proposed an extended theory of planned behavior (TPB) to examine the factors that influence pre-service teachers' intention to use technology-enabled learning, using constructivist pedagogical beliefs (CPB) and information and communication technologies (ICT) competencies as antecedent variables for attitudes, subjective norms (SNs), and perceived behavioral control. An online study was conducted with a random sample of pre-service teachers from 7 universities in China, and 811 validated questionnaires were obtained. The results showed that the extended TPB model explained 75% of th",random_sample_395
Examining the moderating role of technostress and compatibility in EFL Learners' mobile learning adoption: A perspective from the theory of planned behaviour,2022,"Wang, Q; Zhao, GQ; Cheng, Z",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.919971,WOS:000844024300001,"Mobile English learning has multiple advantages and brings enormous benefits to EFL learners. However, not everyone adopts it, and the determinants of learners' adoption intention have not yet been investigated fully. This study aimed to better understand learners' adoption by employing the theory of planned behaviour (TPB) in conjunction with the influences of technostress and compatibility. Based on existing literature, a research model was proposed and verified with a sample of 409 undergraduates from a Chinese university. The results indicated that in the context of mobile English learning",random_sample_395
Founder Management and Innovation: An Empirical Analysis Based on the Theory of Planned Behavior and Fuzzy-Set Qualitative Comparative Analysis,2022,"Ma, CA; Xiao, R; Chang, HY; Song, GR",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.827448,WOS:000765940100001,"Based on the expanded theory of planned behavior, this study first explores the configuration relationship between founder management and innovation by using the fuzzy-set qualitative comparative analysis (fsQCA). Based on the theory of planned behavior, this study divides the behavior intention of founders into three categories: Attitude, subjective norm, and perceived behavior control. Using fsQCA, we found that there are two ways to achieve high innovation input of enterprises. In combination with the two ways, the factors such as male and highly educated founder, and large firm size can ef",random_sample_395
What drives farmers to use conservation agriculture? Application of mediated protection motivation theory,2022,"Bazrafkan, K; Valizadeh, N; Khannejad, S; Kianmehr, N; Bijani, M; Hayati, D",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.991323,WOS:000904896200001,"Conservation agriculture is an approach for managing agricultural ecosystems, improving productivity, increasing benefits and food security, and preserving resources and the environment. The core purpose of this study was to analyze the constructs affecting the intention to use conservation agriculture measures. For this purpose, protection motivation theory was applied as the theoretical framework. Validation of the model was done using a cross-sectional survey among Iranian farmers, and SMART PLS software was used to test the hypotheses. The results showed that the direct effects of the five",random_sample_395
Predicting College Students' Adoption of Technology for Self-Directed Learning: A Model Based on the Theory of Planned Behavior With Self-Evaluation as an Intermediate Variable,2022,"Tzeng, SY; Lin, KY; Lee, CY",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.865803,WOS:000799586000001,"Many studies assume a significant relationship between intention and behavior. However, the data do not always support this assumption. This study used a modified version of social cognitive theory with self-evaluations as an intermediate variable to explore and resolve the problems associated with applying the theory of planned behavior to explain students' adoption of technology for self-directed learning. We surveyed 285 college students who enrolled in an e-book publishing course using multifaceted technological learning tools. We found that, as an intermediate variable, self-evaluation en",random_sample_395
The Effect of Psychological Capital and Role Conflict on the Academic Entrepreneurial Intents of Chinese Teachers in Higher Education: A Study Based on the Theory of Planned Behavior,2022,"Liao, K; Liu, ZY; Li, B",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.793408,WOS:000779086200001,"Because academic entrepreneurship is an innovation driving force in China's economy, teachers are key knowledge creators in the process of entrepreneurship. Therefore, it is particularly important to give attention to the individual psychological mechanism factors at play in the process of teachers in higher education academic entrepreneurship. The purpose of this study is to identify individual psychological capital and role conflict issues among university teachers in China. To accomplish this aim, we investigated the emergence of positive academic entrepreneurial intents, continued through ",random_sample_395
German Laypeople's Willingness to Donate Toward Insect Conservation: Application of an Extended Protection Motivation Theory,2022,"Doerge, L; Buescher, M; Drews, J; Eylering, A; Fiebelkorn, F",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2021.773913,WOS:000747926500001,"It is essential to engage the public in conservation measures to conserve insects. We investigate the Protection Motivation Theory (PMT), as well as knowledge, attitudes, and sociodemographic variables (gender, age, education level, and income) as predictors of willingness to donate (WTD) and actual donations to insect conservation for a representative German sample (N = 515; M-Age = 49.36, SD = 16.73; female = 50.1%). The PMT subcomponents severity, self-efficacy, and response efficacy, as well as attitudes toward insects, income, and education level, significantly predicted WTD. In contrast,",random_sample_395
"Hunt-Vitell's General Theory of Marketing Ethics Predicts ""Attitude-Behaviour"" Gap in Pro-environmental Domain",2022,"Zaikauskaité, L; Butler, G; Helmi, NFS; Robinson, CL; Treglown, L; Tsivrikos, D; Devlin, JT",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.732661,WOS:000771602500001,"The inconsistency between pro-environmental attitudes and behaviours, known as the ""attitude-behaviour"" gap, is exceptionally pronounced in scenarios associated with ""green"" choice. The current literature offers numerous explanations for the reasons behind the ""attitude-behaviour"" gap, however, the generalisability of these explanations is complex. In addition, the answer to the question of whether the gap occurs between attitudes and intentions, or intentions and behaviours is also unknown. In this study, we propose the moral dimension as a generalisable driver of the ""attitude-behaviour"" gap",random_sample_395
Critical success factors for adopting green supply chain management and clean innovation technology in the small and medium-sized enterprises: A structural equation modeling approach,2022,"Maqsood, S; Zhou, Y; Lin, XT; Huang, S; Jamil, I; Shahzad, K",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.1008982,WOS:000886341500001,"Organizational sustainability in the form of environmental management and sustainable production is becoming more important for small and medium-sized enterprises (SMEs) throughout the world. This research evaluates the factors affecting the understanding of the CEO's and managers' intention to adopt practices of green supply chain management (GSCM) and clean innovation technology (CIT) in the manufacturing SMEs of Pakistan. This empirical research identifies key determinants influencing the adoption of GSCM practices. Using structural equation modeling (SEM), we selected a sample size of 350 ",random_sample_395
Trust in Scholarly Communications and Infrastructure: Indigenous Data Sovereignty,2022,"Ruckstuhl, K",FRONTIERS IN RESEARCH METRICS AND ANALYTICS,10.3389/frma.2021.752336,WOS:001379245700001,"Many Indigenous people have a deep mistrust of research, with some describing research as one of the ""dirtiest"" words in Indigenous language. The histories and experiences behind such mistrust are long and painful. Given what has been perceived as Indigenous objectification at the hands of largely Anglo-European others for research from which they fail to benefit, many communities now refuse research unless it is undertaken under certain, Indigenous-defined circumstances. Such refusal is a move away from others purposes and a move towards autonomy and self-determination. For some, this is a st",random_sample_395
Role of public space design on the perception of historical environment: A pilot study in Amasya,2022,"Birer, E; Adem, PC",FRONTIERS OF ARCHITECTURAL RESEARCH,10.1016/j.foar.2021.09.003,WOS:000737131600002,"The experience, perception, awareness, and appreciation of the environment created by public spaces are important elements of urban design. In this context, a strong link exists between perception, public spaces, and historical cities. Amasya is one of the multilayered historical cities in Anatolia. Amasya's holistic urban texture, close relationship with the river, and public spaces are associated with both the Iris River and the historical texture. This pilot study examines the Yaliboyu Promenade, a contemporary open public space designed along the river and across the historical texture in ",random_sample_395
Geodiversity Supports Cultural Ecosystem Services: an Assessment Using Social Media,2022,"Fox, N; Graham, LJ; Eigenbrod, F; Bullock, JM; Parks, KE",GEOHERITAGE,10.1007/s12371-022-00665-0,WOS:000757367500001,"Geodiversity is under threat from both anthropogenic activities and environmental change which therefore requires active management in the form of geoconservation to minimise future damage. As research on the role of geodiversity on ecosystem service (ES) provision has been limited, there is a need to improve our understanding of which aspects are most important to providing ES to better inform approaches to its conservation. Here, we focus on the cultural ES of hiking in Wales, UK. Harnessing big data from the social media website Flickr, we used the locations of geotagged images of hiking an",random_sample_395
"Residents' behavioral intention to participate in neighborhood micro-renewal based on an extended theory of planned behavior: A case study in Shanghai, China",2022,"Tang, DZ; Gong, XY; Liu, ML",HABITAT INTERNATIONAL,10.1016/j.habitatint.2022.102672,WOS:000884294700002,"Neighborhood micro-renewal (NMIR) plays a critical role in revitalizing old neighborhoods and urban sustainability. Public participation has attracted widespread concern to satisfy the multiple demands for social governance in China. Prior studies have underlined the promotion of communal participation, whereas collective characteristics and individual intentions of public behavior have been largely neglected. This study investigates determinants of residents' participation intention and behavior in a framework that incorporates the theory of planned behavior (TPB) and the expectation-confirma",random_sample_395
Extending the Theory of Planned Behavior: A Case of Learning Chinese as a Third Language,2022,"Rahman, F; Mahmud, I; Jiang, BQ; Sarker, K",INTERNATIONAL JOURNAL OF INSTRUCTION,10.29333/iji.2022.15154a,WOS:000762763500055,"Language has always been considered the most effective medium of communication among humans to express their thoughts, opinions, and emotions. As a consequence of globalization, a lot of people end up living, studying, working, and travelling in countries where both their first and the second languages may not be used. This situation creates a need for learning a third language (L3) considering proficiency in first (native) and second (presumably English) languages. Numerous studies have been conducted on L2 and a lot in the field of L3. However, this study found a scope to research specifical",random_sample_395
Measurement equivalence in probability and nonprobability online panels,2022,"Einarsson, H; Sakshaug, JW; Cernat, A; Cornesse, C; Blom, AG",INTERNATIONAL JOURNAL OF MARKET RESEARCH,10.1177/14707853221085206,WOS:000783877500001,"Nonprobability online panels are commonly used in the social sciences as a fast and inexpensive way of collecting data in contrast to more expensive probability-based panels. Given their ubiquitous use in social science research, a great deal of research is being undertaken to assess the properties of nonprobability panels relative to probability ones. Much of this research focuses on selection bias, however, there is considerably less research assessing the comparability (or equivalence) of measurements collected from respondents in nonprobability and probability panels. This article contribu",random_sample_395
Assessments made easier: examining the use of a rating-based questionnaire to capture behavioral data in rehabilitant orangutans (Pongo pygmaeus morio),2022,"Rocque, F; Chotard, H; Bard, K; Micheletta, J; Tuuga, A; Alsisto, S; Davila-Ross, M",INTERNATIONAL JOURNAL OF PRIMATOLOGY,10.1007/s10764-022-00299-7,WOS:000805886100001,"Rehabilitation and release are commonly used for confiscated, surrendered, and rescued primates. To improve release efficacy it is important to generate accurate behavioral profiles of release candidates. Research on primates traditionally uses observer ratings to measure individual differences. This method is easily implemented, but its validity has been questioned. We evaluated whether observer ratings reflect behavioral data indicating forest adaptation in 18 free-ranging rehabilitant orangutans (Pongo pygmaeus morio). In 2017, we used a species-specific questionnaire to measure how often o",random_sample_395
RAT-RS: a reporting standard for improving the documentation of data use in agent-based modelling,2022,"Achter, S; Borit, M; Chattoe-Brown, E; Siebers, PO",INTERNATIONAL JOURNAL OF SOCIAL RESEARCH METHODOLOGY,10.1080/13645579.2022.2049511,WOS:000776200900001,"This article describes and justifies a reporting standard to improve data use documentation in Agent-Based Modelling. Following the development of reporting standards for models themselves, empirical modelling has now developed to the point where these standards need to take equally effective account of data use (which previously has tended to be an afterthought to model description). It is particularly important that a standard should allow the reporting of the different uses to which data may be put (specification, calibration and validation), but also that it should be compatible with the i",random_sample_395
Survey with Innovations to Increase Response Rate Reveals Low Compliance with Guidelines among Youth Baseball Coaches - Including a Survey of Differences between Cities,2022,"Kaizu, Y; Oyama, Y; Ishihara, Y; Honma, Y",INTERNATIONAL JOURNAL OF SPORTS PHYSICAL THERAPY,10.26603/001c.32978,WOS:000782614400010,Background,random_sample_395
