title,year,doi,matched_steps
Impact of prenatal exposure to mercury and selenium on neurodevelopmental delay in children in the Japan environment and Children's study using the ASQ-3 questionnaire: A prospective birth cohort,2022,10.1016/j.envint.2022.107448,
Altruist Talk May (also) Be Cheap: Revealed Versus Stated Altruism as a Predictor in Stated Preference Studies,2022,10.1007/s10640-022-00704-y,
"Psychology, ethics, and research ethics boards",2022,10.1080/10508422.2021.2023019,Step_08_Ethics_and_Participant_Compensation
Measurement Invariance of the SOC-13 Sense of Coherence Scale Across Gender and Age Groups,2022,10.1027/1015-5759/a000641,Step_03_Psychometric_Scales_and_Construct_Validity
A questionnaire-based investigation to explore the social and legal implications derived from the use of camera traps for wildlife monitoring and conservation,2022,10.1007/s10344-022-01593-8,Step_07_Measuring_Behavior_Beyond_Self_Report
Setting expectations during volunteer recruitment and the first day experience: a preregistered experimental test of the met expectations hypothesis,2022,10.1080/1359432X.2022.2070478,Step_05_Preregistration_and_Open_Science
"Factors contributing to anglers' satisfaction and their requests concerning recreational salmonid fisheries management: Insights from a questionnaire survey in strictly regulated, catch-and-release stream fishing areas",2022,10.1016/j.fishres.2022.106464,
Mapping cultural ecosystem services in the hyper arid environment of south of Jordan,2022,10.3389/fenvs.2022.866309,Step_02_Theory_Grounding_and_Construct_Conceptualization
A Structural Equation Modeling Approach to Disentangling Regional-Scale Landscape Dynamics in Ghana,2022,10.3389/fenvs.2021.729266,Step_11_Data_Preparation_Analysis_and_Reporting
Hikers' pro-environmental behavior in national park: Integrating theory of planned behavior and norm activation theory,2022,10.3389/ffgc.2022.1068960,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Integrating teacher data literacy with TPACK: A self-report study based on a novel framework for teachers' professional development,2022,10.3389/fpsyg.2022.966575,Step_01_Epistemological_Alignment_and_Method_Selection; Step_07_Measuring_Behavior_Beyond_Self_Report
Climate Change Anxiety Assessment: The Psychometric Properties of the Polish Version of the Climate Anxiety Scale,2022,10.3389/fpsyg.2022.870392,Step_03_Psychometric_Scales_and_Construct_Validity
Employees buying organic food intention: An extension of the theory of planned behavior,2022,10.3389/fpsyg.2022.1054166,Step_02_Theory_Grounding_and_Construct_Conceptualization
Climate change opportunities reduce farmers' risk perception: Extension of the value-belief-norm theory in the context of Finnish agriculture,2022,10.3389/fpsyg.2022.939201,Step_02_Theory_Grounding_and_Construct_Conceptualization
Explaining Pre-service Teachers' Intentions to Use Technology-Enabled Learning: An Extended Model of the Theory of Planned Behavior,2022,10.3389/fpsyg.2022.900806,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_03_Psychometric_Scales_and_Construct_Validity
Examining the moderating role of technostress and compatibility in EFL Learners' mobile learning adoption: A perspective from the theory of planned behaviour,2022,10.3389/fpsyg.2022.919971,Step_02_Theory_Grounding_and_Construct_Conceptualization
Founder Management and Innovation: An Empirical Analysis Based on the Theory of Planned Behavior and Fuzzy-Set Qualitative Comparative Analysis,2022,10.3389/fpsyg.2022.827448,Step_02_Theory_Grounding_and_Construct_Conceptualization
What drives farmers to use conservation agriculture? Application of mediated protection motivation theory,2022,10.3389/fpsyg.2022.991323,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_03_Psychometric_Scales_and_Construct_Validity
Predicting College Students' Adoption of Technology for Self-Directed Learning: A Model Based on the Theory of Planned Behavior With Self-Evaluation as an Intermediate Variable,2022,10.3389/fpsyg.2022.865803,Step_02_Theory_Grounding_and_Construct_Conceptualization
The Effect of Psychological Capital and Role Conflict on the Academic Entrepreneurial Intents of Chinese Teachers in Higher Education: A Study Based on the Theory of Planned Behavior,2022,10.3389/fpsyg.2022.793408,Step_02_Theory_Grounding_and_Construct_Conceptualization
German Laypeople's Willingness to Donate Toward Insect Conservation: Application of an Extended Protection Motivation Theory,2022,10.3389/fpsyg.2021.773913,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Hunt-Vitell's General Theory of Marketing Ethics Predicts ""Attitude-Behaviour"" Gap in Pro-environmental Domain",2022,10.3389/fpsyg.2022.732661,
Critical success factors for adopting green supply chain management and clean innovation technology in the small and medium-sized enterprises: A structural equation modeling approach,2022,10.3389/fpsyg.2022.1008982,Step_04_Study_Architecture_and_Experimental_Design; Step_09_Power_Analysis_Sampling_and_Pilots; Step_11_Data_Preparation_Analysis_and_Reporting
Trust in Scholarly Communications and Infrastructure: Indigenous Data Sovereignty,2022,10.3389/frma.2021.752336,Step_08_Ethics_and_Participant_Compensation
Role of public space design on the perception of historical environment: A pilot study in Amasya,2022,10.1016/j.foar.2021.09.003,Step_04_Study_Architecture_and_Experimental_Design; Step_09_Power_Analysis_Sampling_and_Pilots
Geodiversity Supports Cultural Ecosystem Services: an Assessment Using Social Media,2022,10.1007/s12371-022-00665-0,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Residents' behavioral intention to participate in neighborhood micro-renewal based on an extended theory of planned behavior: A case study in Shanghai, China",2022,10.1016/j.habitatint.2022.102672,Step_02_Theory_Grounding_and_Construct_Conceptualization
Extending the Theory of Planned Behavior: A Case of Learning Chinese as a Third Language,2022,10.29333/iji.2022.15154a,Step_02_Theory_Grounding_and_Construct_Conceptualization
Measurement equivalence in probability and nonprobability online panels,2022,10.1177/14707853221085206,Step_10_Survey_Distribution
Assessments made easier: examining the use of a rating-based questionnaire to capture behavioral data in rehabilitant orangutans (Pongo pygmaeus morio),2022,10.1007/s10764-022-00299-7,
RAT-RS: a reporting standard for improving the documentation of data use in agent-based modelling,2022,10.1080/13645579.2022.2049511,Step_03_Psychometric_Scales_and_Construct_Validity; Step_12_Writing_Survey_Research_Paper
Survey with Innovations to Increase Response Rate Reveals Low Compliance with Guidelines among Youth Baseball Coaches - Including a Survey of Differences between Cities,2022,10.26603/001c.32978,Step_10_Survey_Distribution
Can you see opportunity knocking? An examination of technology-based political skill on opportunity recognition in online communities for MTurk workers,2022,10.1108/INTR-03-2021-0175,Step_10_Survey_Distribution
From value perception to behavioural intention: Study of Chinese smallholders? pro-environmental agricultural practices,2022,10.1016/j.jenvman.2022.115179,Step_02_Theory_Grounding_and_Construct_Conceptualization
Measuring pro-environmental orientation: Testing and building scales,2022,10.1016/j.jenvp.2022.101780,Step_02_Theory_Grounding_and_Construct_Conceptualization
Does the Survey Mode Affect the Association Between Subjective Well-being and its Determinants? An Experimental Comparison Between Face-to-Face and Web Mode,2022,10.1007/s10902-022-00553-y,Step_10_Survey_Distribution
Questionable research practices among researchers in the most research-productive management programs,2022,10.1002/job.2623,Step_04_Study_Architecture_and_Experimental_Design; Step_09_Power_Analysis_Sampling_and_Pilots
Cultural practices and organizational ethnography: implications for fieldwork and research ethics,2022,10.1108/JOE-06-2021-0036,Step_01_Epistemological_Alignment_and_Method_Selection; Step_08_Ethics_and_Participant_Compensation
A Test of Protection Motivation Theory in the Information Security Literature: A Meta-Analytic Structural Equation Modeling Approach,2022,10.17705/1jais.00723,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
"Relational Values of Cultural Ecosystem Services in an Urban Conservation Area: The Case of Table Mountain National Park, South Africa",2022,10.3390/land11050603,Step_02_Theory_Grounding_and_Construct_Conceptualization
Regional Differentiations of the Potential of Cultural Ecosystem Services in Relation to Natural Capital-A Case Study in Selected Regions of the Slovak Republic,2022,10.3390/land11020270,Step_02_Theory_Grounding_and_Construct_Conceptualization
Extending the Theory of Planned Behavior with the Self-Congruity Theory to Predict Tourists' Pro-Environmental Behavioral Intentions: A Two-Case Study of Heritage Tourism,2022,10.3390/land11112069,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_03_Psychometric_Scales_and_Construct_Validity
Confirmatory Analysis of the Effect of Socioeconomic Factors on Ecosystem Service Value Variation Based on the Structural Equation Model-A Case Study in Sichuan Province,2022,10.3390/land11040483,Step_11_Data_Preparation_Analysis_and_Reporting
Research on the Perception of Cultural Ecosystem Services in Urban Parks via Analyses of Online Comment Data,2022,10.15302/J-LAF-1-020072,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Is disability a conditioning factor to perceive cultural ecosystem services? Assessing social perception in a coastal protected dunefield,2022,10.1016/j.ocecoaman.2022.106298,Step_02_Theory_Grounding_and_Construct_Conceptualization
Development of a self-report instrument for measuring online teaching practices and discussion facilitation,2022,10.1371/journal.pone.0275880,Step_07_Measuring_Behavior_Beyond_Self_Report
Predictors of uncircumcised primary school girls' intention to genital cutting in South Ethiopia: Application of theory of planned behavior,2022,10.1371/journal.pone.0270738,Step_02_Theory_Grounding_and_Construct_Conceptualization
Little Evidence for Consistent Initial Elevation Bias in Self-Reported Momentary Affect: A Coordinated Analysis of Ecological Momentary Assessment Studies,2022,10.1037/pas0001108,Step_07_Measuring_Behavior_Beyond_Self_Report
"Conducting a Meta-Analysis in the Age of Open Science: Tools, Tips, and Practical Recommendations",2022,10.1037/met0000351,Step_05_Preregistration_and_Open_Science
New Psychometric Evidence of a Bifactor Structure of the Emotional Regulation Questionnaire (ERQ) in Ecuadorian College Students,2022,10.11621/pir.2022.0108,Step_03_Psychometric_Scales_and_Construct_Validity
Establishing a reproducible approach to study cellular functions of plant cells with 3D bioprinting,2022,10.1126/sciadv.abp9906,Step_05_Preregistration_and_Open_Science
Estimating Willingness to Pay for Alpine Pastures: A Discrete Choice Experiment Accounting for Attribute Non-Attendance,2022,10.3390/su14074093,Step_04_Study_Architecture_and_Experimental_Design
Application of Discrete Choice Experiment in Agricultural Risk Management: A Review,2022,10.3390/su141710609,Step_04_Study_Architecture_and_Experimental_Design
Psychometric Properties of Intercultural Competences in a Central European Context,2022,10.3390/su14127502,Step_03_Psychometric_Scales_and_Construct_Validity; Step_11_Data_Preparation_Analysis_and_Reporting
Fostering Resilience and Adaptation to Drought in the Southern High Plains: Using Participatory Methods for More Robust Citizen Science,2022,10.3390/su14031813,
"Influence of Social Constraints, Mobility Incentives, and Restrictions on Commuters' Behavioral Intentions and Moral Obligation towards the Metro-Bus Service in Lahore",2022,10.3390/su14052654,Step_11_Data_Preparation_Analysis_and_Reporting
Examining the socio-psychological predictors of tree-planting behaviour using the theory of planned behaviour: A study of a cohort of Nigerian urban workers,2022,10.1016/j.ufug.2022.127509,Step_02_Theory_Grounding_and_Construct_Conceptualization
Psychometric Properties of the SV-RES60 Resilience Scale in a Sample of Chilean Elementary School Teachers,2023,10.3390/bs13090781,Step_03_Psychometric_Scales_and_Construct_Validity
Comparing Older Parents' and Adult Children's Fear of Falling and Perceptions of Age-Friendly Home Modification: An Integration of the Theories of Planned Behavior and Protection Motivation,2023,10.3390/bs13050403,Step_02_Theory_Grounding_and_Construct_Conceptualization
Environmental Volunteers Endorse Diverse Motivations: Using a Mixed-Methods Study to Assess Initial and Sustained Motivation to Engage in Public Participation in Science Research,2023,10.5334/cstp.506,Step_01_Epistemological_Alignment_and_Method_Selection
Climate change adaptation behaviour of forest growers in New Zealand: an application of protection motivation theory,2023,10.1007/s10584-022-03469-x,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Cultural Humility, Human Research Ethics Review, and Informed Consent",2023,10.1177/15327086221138983,Step_08_Ethics_and_Participant_Compensation
Achievement goals among Chinese college students: Longitudinal measurement invariance and latent growth analysis,2023,10.1007/s12144-022-03466-4,Step_03_Psychometric_Scales_and_Construct_Validity
"Burden of treatment, emotion work and parental burnout of mothers to children with or without special needs: A pilot study",2023,10.1007/s12144-022-03074-2,Step_04_Study_Architecture_and_Experimental_Design; Step_09_Power_Analysis_Sampling_and_Pilots
A hybrid and hierarchical stated preference study of freshwater restoration in Aotearoa New Zealand,2023,10.1016/j.ecolecon.2022.107626,
Combining Revealed and Stated Preferences to design a new urban park in a metropolitan area of North-Western Italy,2023,10.1016/j.ecolmodel.2023.110436,
Mapping indicators of cultural ecosystem services use in urban green spaces based on text classification of geosocial media data,2023,10.1016/j.ecoser.2022.101508,Step_02_Theory_Grounding_and_Construct_Conceptualization
Personal and Professional Mitigation Behavioral Intentions of Agricultural Experts to Address Climate Change,2023,10.1007/s00267-023-01815-y,Step_11_Data_Preparation_Analysis_and_Reporting
Insights into Salt Marsh Plant Community Distributions Through Computer Vision and Structural Equation Modeling,2023,10.1007/s12237-022-01147-w,Step_11_Data_Preparation_Analysis_and_Reporting
"Implementation gaps affecting the quality of biodiversity conservation management: An ethnographic study of protected areas in Fujian Province, China",2023,10.1016/j.forpol.2023.102933,Step_01_Epistemological_Alignment_and_Method_Selection
The prevalence of careless response behaviour and its consequences on data quality in self-report questionnaires on student learning,2023,10.3389/feduc.2023.1197324,Step_03_Psychometric_Scales_and_Construct_Validity; Step_07_Measuring_Behavior_Beyond_Self_Report; Step_11_Data_Preparation_Analysis_and_Reporting
A virtual reality program to assess cognitive function in multiple sclerosis: A pilot study,2023,10.3389/fnhum.2023.1139316,Step_04_Study_Architecture_and_Experimental_Design; Step_09_Power_Analysis_Sampling_and_Pilots
Students' perceptions of the rules and restrictions of gender at school: A psychometric evaluation of the Gender Climate Scale (GCS),2023,10.3389/fpsyg.2023.1095255,Step_03_Psychometric_Scales_and_Construct_Validity
Revised environmental identity scale: Adaptation and preliminary examination on a sample of Italian pet owners,2023,10.3389/fpsyg.2022.892841,Step_03_Psychometric_Scales_and_Construct_Validity
Reliability of attention bias and attention bias variability to climate change images in the dot-probe task,2023,10.3389/fpsyg.2022.1021858,Step_03_Psychometric_Scales_and_Construct_Validity
"The outdoor office: a pilot study of environmental qualities, experiences of office workers, and work-related well-being",2023,10.3389/fpsyg.2023.1214338,Step_04_Study_Architecture_and_Experimental_Design; Step_09_Power_Analysis_Sampling_and_Pilots
The effect of visual attention process and thinking styles on environmental aesthetic preference: An eye-tracking study,2023,10.3389/fpsyg.2022.1027742,Step_07_Measuring_Behavior_Beyond_Self_Report
Contours of a research ethics and integrity perspective on open science,2023,10.3389/frma.2023.1052353,Step_05_Preregistration_and_Open_Science; Step_08_Ethics_and_Participant_Compensation
"Problems of knowledge, problems of order: the open science field site",2023,10.3389/fsoc.2023.1149073,Step_01_Epistemological_Alignment_and_Method_Selection; Step_05_Preregistration_and_Open_Science
"Electronic application for rabies management improves surveillance, data quality, and investigator experience in Haiti",2023,10.3389/fvets.2023.1052349,Step_11_Data_Preparation_Analysis_and_Reporting
"Evaluation of coastal wetland ecosystem services based on modified choice experimental model: A case study of mangrove wetland in Beibu Gulf, Guangxi",2023,10.1016/j.habitatint.2022.102735,Step_04_Study_Architecture_and_Experimental_Design
Examining Chinese social sciences graduate students' understanding of research ethics: implications for their research ethics education,2023,10.1057/s41599-023-02000-6,Step_08_Ethics_and_Participant_Compensation
Indigenous Data Governance in Australia: Towards A National Framework,2023,10.18584/iipj.2023.14.1.10987,
Women's entrepreneurial behavior in Saudi Arabian SMEs: A study based on Ajzen's theory of planned behavior,2023,10.21833/ijaas.2023.09.015,Step_02_Theory_Grounding_and_Construct_Conceptualization
Machine learning in predicting anti-money laundering compliance with protection motivation theory among professional accountants,2023,10.21833/ijaas.2023.07.007,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
The effects of the theory of planned behaviour on the switching propensity of retail banking customers at different critical switching incidents,2023,10.1108/IJBM-12-2022-0532,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Explaining farmers' pro-environmental behaviors toward plant, soil and water conservation in Iran: an application of value-belief-norm theory",2023,10.1007/s13762-022-04568-z,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Securing online accounts and assets: An examination of personal investments and protection motivation,2023,10.1016/j.ijinfomgt.2022.102590,Step_02_Theory_Grounding_and_Construct_Conceptualization
Social-psychological Aspects of Probability-based Online Panel Participation,2023,10.1093/ijpor/edad012,Step_07_Measuring_Behavior_Beyond_Self_Report; Step_10_Survey_Distribution
Methodological Approaches to Obtaining Informed Consent when Conducting Research With Individuals With Deafblindness,2023,10.1177/16094069231205176,Step_08_Ethics_and_Participant_Compensation
Surrogate Practices in Research in the Absence of a Research Ethics Committee: A Qualitative Study,2023,10.1007/s10805-021-09443-z,Step_08_Ethics_and_Participant_Compensation
"Modeling risks in marine protected areas: Mapping of habitats, biodiversity, and cultural ecosystem services in the southernmost atlantic coral reef",2023,10.1016/j.jenvman.2023.118855,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Insights into eco-anxiety in Italy: Preliminary psychometric properties of the Italian version of the Hogg Eco-anxiety Scale, age and gender distribution",2023,10.1016/j.jenvp.2023.102180,Step_03_Psychometric_Scales_and_Construct_Validity; Step_11_Data_Preparation_Analysis_and_Reporting
Too much praise for reappraisal? Examining reappraisal's impact on threat mitigation depending on its implementation: A registered report,2023,10.1016/j.jesp.2023.104475,Step_05_Preregistration_and_Open_Science
Embracing the Messiness in Mixed Methods Research: The Craft Attitude,2023,10.1177/15586898221108545,Step_01_Epistemological_Alignment_and_Method_Selection
The Precision of Estimates of Nonresponse Bias in Means,2023,10.1093/jssam/smac019,Step_10_Survey_Distribution
"The Effects of a Targeted ""Early Bird"" Incentive Strategy on Response Rates, Fieldwork Effort, and Costs in a National Panel Study",2023,10.1093/jssam/smab042,Step_04_Study_Architecture_and_Experimental_Design; Step_10_Survey_Distribution
"Analysis of Landscape Character Assessment and Cultural Ecosystem Services Evaluation Frameworks for Peri-Urban Landscape Planning: A Case Study of Harku Municipality, Estonia",2023,10.3390/land12101825,Step_02_Theory_Grounding_and_Construct_Conceptualization
Community forest management led to rapid local forest gain in Nepal: A 29 year mixed methods retrospective case study,2023,10.1016/j.landusepol.2022.106526,Step_01_Epistemological_Alignment_and_Method_Selection
Reframing rangeland systems science research in Kenya: a synthesis of social-science mixed methods to inform integrative analysis of landscape pattern and process,2023,10.1007/s10980-023-01723-w,Step_01_Epistemological_Alignment_and_Method_Selection
"Informing ecosystem values of Loktak Lake in Manipur, India: an application of discrete choice experiments",2023,10.1071/MF21337,Step_04_Study_Architecture_and_Experimental_Design
Survey of open science practices and attitudes in the social sciences,2023,10.1038/s41467-023-41111-1,Step_05_Preregistration_and_Open_Science
Open Science 2.0: Towards a truly collaborative research ecosystem,2023,10.1371/journal.pbio.3002362,Step_05_Preregistration_and_Open_Science
"Development of the Acoustic Comfort Assessment Scale (ACAS-12): Psychometric properties, validity evidence and back-translation between Spanish and English",2023,10.1371/journal.pone.0281534,Step_03_Psychometric_Scales_and_Construct_Validity
Registered report: Survey on attitudes and experiences regarding preregistration in psychological research,2023,10.1371/journal.pone.0281086,Step_01_Epistemological_Alignment_and_Method_Selection; Step_05_Preregistration_and_Open_Science
The impact of visually simulated self-motion on predicting object motion-A registered report protocol,2023,10.1371/journal.pone.0267983,Step_05_Preregistration_and_Open_Science
Psychometric Evaluation of a Visual Interpersonal Analog Scale,2023,10.1037/pas0001210,Step_03_Psychometric_Scales_and_Construct_Validity
Will information interventions affect public preferences and willingness to pay for air quality improvement? An empirical study based on deliberative choice experiment,2023,10.1016/j.scitotenv.2023.161436,Step_04_Study_Architecture_and_Experimental_Design
Mapping and assessment of recreational cultural ecosystem services supply and demand in Vilnius (Lithuania),2023,10.1016/j.scitotenv.2022.158590,Step_02_Theory_Grounding_and_Construct_Conceptualization
Understanding belief in political statements using a model-driven experimental approach: a registered report,2023,10.1038/s41598-023-47939-3,Step_05_Preregistration_and_Open_Science
Drivers of religious entrepreneurial behaviour among Pentecostal pastors: push-pull-mooring theory and theory of planned behaviour,2023,10.1080/13215906.2023.2231408,Step_02_Theory_Grounding_and_Construct_Conceptualization
Exploring and Measuring Quality of Life Determinants of Wage Workers in Egypt: A Structural Equation Modelling Approach,2023,10.1007/s11205-023-03202-w,Step_11_Data_Preparation_Analysis_and_Reporting
Evading Open Science: The Black Box of Student Data Collection,2023,10.32872/spb.9411,Step_05_Preregistration_and_Open_Science
Assessing class cohesion in primary and secondary education: Development and preliminary validation of the class cohesion questionnaire (CCQ),2023,10.1007/s11218-022-09738-y,Step_03_Psychometric_Scales_and_Construct_Validity
Item Nonresponse in Web Versus Other Survey Modes: A Systematic Review and Meta-Analysis,2023,10.1177/08944393211056229,Step_10_Survey_Distribution
The Early Bird Catches the Worm! Setting a Deadline for Online Panel Recruitment Incentives,2023,10.1177/08944393221096970,Step_10_Survey_Distribution
Evaluating the Impacts of a Research Ethics Training Course on University Researchers,2023,10.3390/socsci12030182,Step_08_Ethics_and_Participant_Compensation
Personality Traits Affecting Risky Riding Behavior: An Application of an Extended Theory of Planned Behavior,2023,10.3390/su152416586,Step_02_Theory_Grounding_and_Construct_Conceptualization
Antecedents of Real Estate Investment Intention among Filipino Millennials and Gen Z: An Extended Theory of Planned Behavior,2023,10.3390/su151813714,Step_02_Theory_Grounding_and_Construct_Conceptualization
Modeling Chinese Secondary School Students' Behavioral Intentions to Learn Artificial Intelligence with the Theory of Planned Behavior and Self-Determination Theory,2023,10.3390/su15010605,Step_02_Theory_Grounding_and_Construct_Conceptualization
The Influence of the Information System Success Model and Theory of Planned Behavior on the Zoom Application Used by Elementary Education Teachers,2023,10.3390/su15129558,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Gen Z's Attitude towards Green Image Destinations, Green Tourism and Behavioural Intention Regarding Green Holiday Destination Choice: A Study in Poland and India",2023,10.3390/su15107860,
"Relationship between Self-Assessed Productivity, Gender and Age in Mixed-Mode and Fully Air-Conditioned Offices in Florianopolis, Brazil",2023,10.3390/su151612377,Step_10_Survey_Distribution
Exploring Sustainable Interior Design Implementation Barriers: A Partial Least Structural Equation Modeling Approach,2023,10.3390/su15054663,Step_11_Data_Preparation_Analysis_and_Reporting
Utilization of urban agriculture to enhance urban sustainability: investigating people's heterogeneous preferences for proximity to urban agriculture through a choice experiment,2023,10.1007/s11625-022-01282-0,Step_04_Study_Architecture_and_Experimental_Design
Campus commute mode choice in a college town: An application of the integrated choice and latent variable (ICLV) model,2023,10.1016/j.tbs.2022.10.002,
Effects of urban waterfront park landscape elements on visual behavior and public preference: Evidence from eye-tracking experiments,2023,10.1016/j.ufug.2023.127889,
Best Laid Plans: A Guide to Reporting Preregistration Deviations,2024,10.1177/25152459231213802,Step_05_Preregistration_and_Open_Science
Practices in Data-Quality Evaluation: A Large-Scale Review of Online Survey Studies Published in 2022,2024,10.1177/25152459241236414,
"Research Ethics, Fieldwork, and African Studies",2024,10.1017/asr.2024.159,Step_08_Ethics_and_Participant_Compensation
Information provision and preferences for more sustainable dairy farming: Choice experimental evidence from Sweden,2024,10.1017/age.2023.33,Step_04_Study_Architecture_and_Experimental_Design
Gathering a bountiful harvest: the impacts of cultural ecosystem service experiences on management practices and agrobiodiversity in urban community gardens,2024,10.1080/21683565.2024.2317338,Step_02_Theory_Grounding_and_Construct_Conceptualization
Revealing the supply-demand relationship of urban cultural ecosystem services: The combination of open-source spatial model and topic model,2024,10.1016/j.apgeog.2024.103288,Step_02_Theory_Grounding_and_Construct_Conceptualization
Using social media and citizen science to assess cultural ecosystem services along riverine landscapes,2024,10.1002/aqc.4233,Step_02_Theory_Grounding_and_Construct_Conceptualization
Climate change perception scale: Adaptation and psychometric properties in the Indonesian context,2024,10.1111/ajsp.12595,Step_03_Psychometric_Scales_and_Construct_Validity
Exploring Academic Intentions for ChatGPT: A Perspective from the Theory of Planned Behavior,2024,10.12982/CMUJASR.2024.016,Step_02_Theory_Grounding_and_Construct_Conceptualization
Measuring the variability of personality traits with interval responses: Psychometric properties of the dual-range slider response format,2024,10.3758/s13428-024-02394-4,Step_03_Psychometric_Scales_and_Construct_Validity
Assessing computational reproducibility in Behavior Research Methods,2024,10.3758/s13428-024-02501-5,Step_05_Preregistration_and_Open_Science
SELF-DESCRIPTION QUESTIONNAIRE II-SHORT (SDQ-II- S): MEASUREMENT PROPERTIES IN SPANISH ADOLESCENTS,2024,10.51668/bp.8324308n,
On the estimation of finite population variance for a mail survey design in the presence of non-response using new conventional and calibrated estimators,2024,10.1080/03610926.2022.2093906,
Reliability and factorial validity of the cross-media self-presence questionnaire (CM-SPQ),2024,10.1016/j.chbr.2024.100370,Step_03_Psychometric_Scales_and_Construct_Validity
"Investor intention, investor behavior and crypto assets in the framework of decomposed theory of planned behavior",2024,10.1007/s12144-023-04307-8,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
The impact of descriptive and injunctive social norms on pro-environmental behavior: astudy using eye-tracking technology,2024,10.1007/s12144-024-06909-2,
Inventive behaviour of farm scientists a structural equation model,2024,10.18520/cs/v126/i3/368-373,Step_11_Data_Preparation_Analysis_and_Reporting
"Assessment of cultural ecosystem services of the Qinghai-Tibetan Plateau: Guarding the beauty of the Plateau, co-creating a better future",2024,10.1016/j.ecolind.2024.112405,Step_02_Theory_Grounding_and_Construct_Conceptualization
Harnessing open science practices to teach ecology and evolutionary biology using interactive tutorials,2024,10.1002/ece3.11179,Step_05_Preregistration_and_Open_Science
Assessing psychological factors on farmers' intention to apply organic manure: an application of extended theory of planned behavior,2024,10.1007/s10668-022-02829-y,Step_02_Theory_Grounding_and_Construct_Conceptualization
Connectedness to nature: a tale of three scales,2024,10.1080/13504622.2024.2320342,
PASS4SWAT: Orchestration of containerized SWAT for facilitating computational reproducibility of model calibration and uncertainty analysis,2024,10.1016/j.envsoft.2024.106085,Step_05_Preregistration_and_Open_Science
Forest Owners' Intention to Safeguard Forest Biodiversity: An Application of the Theory of Planned Behavior,2024,10.1093/forsci/fxad044,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_10_Survey_Distribution; Step_11_Data_Preparation_Analysis_and_Reporting
